mrna_id	gene_id	locus_tag	chrom	old_start	old_end	new_start	new_end	overlap_gene_id	overlap_locus_tag	overlap_start	overlap_end	overlap_strand
rna-NM_001180042.1	gene-YAL064W-B	YAL064W-B	NC_001133.9	12046	12426	12046	15151	gene-YAL064C-A	YAL064C-A	13363	13743	-
rna-NM_001178197.1	gene-YAL054C	YAL054C	NC_001133.9	42881	45022	42713	45022	gene-YAL055W	YAL055W	42177	42719	+
rna-NM_001178198.1	gene-YAL055W	YAL055W	NC_001133.9	42177	42719	42177	42884	gene-YAL054C	YAL054C	42881	45022	-
rna-NM_001178194.1	gene-YAL049C	YAL049C	NC_001133.9	51855	52595	51691	52595	gene-YAL051W	YAL051W	48564	51707	+
rna-NM_001178189.1	gene-YAL044C	YAL044C	NC_001133.9	57950	58462	57756	58462	gene-YAL044W-A	YAL044W-A	57518	57850	+
rna-NM_001184453.1	gene-YAL044W-A	YAL044W-A	NC_001133.9	57518	57850	57518	57990	gene-YAL044C	YAL044C	57950	58462	-
rna-NM_001178183.1	gene-YAL038W	YAL038W	NC_001133.9	71786	73288	71786	73450	gene-YAL037C-A	YAL037C-A	73426	73518	-
rna-NM_001178181.1	gene-YAL036C	YAL036C	NC_001133.9	75043	76152	74176	76152	gene-YAL037W	YAL037W	74020	74823	+
rna-NM_001178182.1	gene-YAL037W	YAL037W	NC_001133.9	74020	74823	74020	76400	gene-YAL036C	YAL036C	75043	76152	-
rna-NM_001180035.1	gene-YAL034C	YAL034C	NC_001133.9	80710	81951	80549	81951	gene-YAL034W-A	YAL034W-A	79718	80587	+
rna-NM_001178179.1	gene-YAL034W-A	YAL034W-A	NC_001133.9	79718	80587	79718	80747	gene-YAL034C	YAL034C	80710	81951	-
rna-NM_001178177.1	gene-YAL032C	YAL032C	NC_001133.9	83335	84474	83192	84474	gene-YAL033W	YAL033W	82706	83227	+
rna-NM_001178178.1	gene-YAL033W	YAL033W	NC_001133.9	82706	83227	82706	83397	gene-YAL032C	YAL032C	83335	84474	-
rna-NM_001178175.1	gene-YAL030W	YAL030W	NC_001133.9	87286	87752	87286	88061	gene-YAL029C	YAL029C	87855	92270	-
rna-NM_001178160.1	gene-YAL015C	YAL015C	NC_001133.9	126903	128102	126756	128102	gene-YAL016W	YAL016W	124879	126786	+
rna-NM_001178159.1	gene-YAL014C	YAL014C	NC_001133.9	128252	129019	128031	129019	gene-YAL015C	YAL015C	126903	128102	-
rna-NM_001178155.2	gene-YAL010C	YAL010C	NC_001133.9	134184	135665	134001	135665	gene-YAL011W	YAL011W	132199	134076	+
rna-NM_001178156.1	gene-YAL011W	YAL011W	NC_001133.9	132199	134076	132199	134210	gene-YAL010C	YAL010C	134184	135665	-
rna-NM_001178152.1	gene-YAL007C	YAL007C	NC_001133.9	137698	138345	137408	138345	gene-YAL008W	YAL008W	136914	137510	+
rna-NM_001178153.1	gene-YAL008W	YAL008W	NC_001133.9	136914	137510	136914	137718	gene-YAL007C	YAL007C	137698	138345	-
rna-NM_001178150.1	gene-YAL003W	YAL003W	NC_001133.9	142174	143160	142174	143496	gene-YNCA0003W	YNCA0003W	142367	142468	+
rna-NM_001178149.1	gene-YAL002W	YAL002W	NC_001133.9	143707	147531	143707	147630	gene-YAL001C	YAL001C	147594	151166	-
rna-NM_001180033.1	gene-YAR002C-A	YAR002C-A	NC_001133.9	154065	154724	153765	154724	gene-YAR002W	YAR002W	152257	153876	+
rna-NM_001178209.1	gene-YAR002W	YAR002W	NC_001133.9	152257	153876	152257	154114	gene-YAR002C-A	YAR002C-A	154065	154724	-
rna-NM_001178210.1	gene-YAR003W	YAR003W	NC_001133.9	155005	156285	155005	156909	gene-YAR007C	YAR007C	156754	158619	-
rna-NM_001178217.1	gene-YAR018C	YAR018C	NC_001133.9	170396	171703	170177	171703	gene-YAR015W	YAR015W	169375	170295	+
rna-NM_001178216.1	gene-YAR015W	YAR015W	NC_001133.9	169375	170295	169375	172008	gene-YAR018C	YAR018C	170396	171703	-
rna-NM_001178226.1	gene-YAR035W	YAR035W	NC_001133.9	190193	192256	190193	192365	gene-YAR035C-A	YAR035C-A	192337	192417	-
rna-NM_001178881.2	gene-YEL066W	YEL066W	NC_001137.3	26721	27206	26721	27652	gene-YEL067C	YEL067C	26189	26776	-
rna-NM_001178879.1	gene-YEL064C	YEL064C	NC_001137.3	29797	31239	29469	31239	gene-YEL065W	YEL065W	27657	29543	+
rna-NM_001178872.1	gene-YEL057C	YEL057C	NC_001137.3	45020	45721	44914	45721	gene-YEL058W	YEL058W	43252	44925	+
rna-NM_001178873.1	gene-YEL058W	YEL058W	NC_001137.3	43252	44925	43252	45326	gene-YEL057C	YEL057C	45020	45721	-
rna-NM_001178870.1	gene-YEL055C	YEL055C	NC_001137.3	48471	51539	48281	51539	gene-YEL056W	YEL056W	47168	48373	+
rna-NM_001178871.3	gene-YEL056W	YEL056W	NC_001137.3	47168	48373	47168	48542	gene-YEL055C	YEL055C	48471	51539	-
